quote,author,predicted_tags
It is the mark of an educated mind to be able to entertain a thought without accepting it.,Aristotle,"('education', 'knowledge', 'mind')"
Before you heal the body you must first heal the mind,Aristotle,"('love', 'mind', 'pain')"
Character is revealed through action.,Aristotle,"('knowledge', 'philosophy', 'work')"
"Music directly represents the passions of the soul. If one listens to the wrong kind of music, he will become the wrong kind of person.",Aristotle,"('man', 'music', 'soul')"
"The high-minded man does not bear grudges, for it is not the mark of a great soul to remember injuries, but to forget them.",Aristotle,"('life', 'mind', 'pain')"
The proof that you know something is that you are able to teach it,Aristotle,"('education', 'knowledge', 'me')"
"One may go wrong in many different ways, but right only in one, which is why it is easy to fail and difficult to succeed.",Aristotle,"('inspirational', 'life', 'success')"
"For both excessive and insufficient exercise destroy one's strength, and both eating and drinking too much or too little destroy health, whereas the right quantity produces, increases and preserves it. So it is the same with temperance, courage and the other virtues. This much then, is clear: in all our conduct it is the mean that is to be commended.",Aristotle,"('beauty', 'great', 'spirituality')"
"First, have a definite, clear practical ideal; a goal, an objective. Second, have the necessary means to achieve your ends; wisdom, money, materials, and methods. Third, adjust all your means to that end.",Aristotle,"('art', 'inspirational', 'successquotes')"
"Those who are not angry at the things they should be angry at are thought to be fools, and so are those who are not angry in the right way, at the right time, or with the right persons.",Aristotle,"('people', 'philosophy', 'wisdom')"
"When there is no middle class, and the poor greatly exceed in number, troubles arise, and the state soon comes to an end.",Aristotle,"('education', 'money', 'society')"
I count him braver who overcomes his desires than him who conquers his enemies; for the hardest victory is over self.,Aristotle,"('courage', 'leadership', 'self')"
He who has never learned to obey cannot be a good commander.,Aristotle,"('courage', 'inspirational', 'leadership')"
"Today, see if you can stretch your heart and expand your love so that it touches not only those to whom you can give it easily, but also to those who need it so much.",Aristotle,"('hope', 'intelligence', 'love')"
No great mind has ever existed without a touch of madness.,Aristotle,"('great', 'mind', 'philosophy')"
Knowing yourself is the beginning of all wisdom.,Aristotle,"('inspirational', 'knowledge', 'wisdom')"
"Whatever we learn to do, we learn by actually doing it; men come to be builders, for instance, by building, and harp players by playing the harp. In the same way, by doing just acts we come to be just; by doing self-controlled acts, we come to be self-controlled ; and by doing brave acts, we become brave.",Aristotle,"('courage', 'leadership', 'learning')"
"The greatest thing by far is to be a master of metaphor; it is the one thing that cannot be learned from others; and it is also a sign of genius, since a good metaphor implies an intuitive perception of the similarity of the dissimilar.",Aristotle,"('great', 'philosophy', 'truth')"
"The society that loses its grip on the past is in danger, for it produces men who know nothing but the present, and who are not aware that life had been, and could be, different from what it is.",Aristotle,"('life', 'men', 'society')"
"Courage is the mother of all virtues because without it, you cannot consistently perform the others.",Aristotle,"('courage', 'philosophy', 'success')"
"Teenagers these days are out of control. They eat like pigs, they are disrespectful of adults, they interrupt and contradict their parents, and they terrorize their teachers.",Aristotle,"('education', 'history', 'society')"
Character is made by many acts; it may be lost by a single one.,Aristotle,"('knowledge', 'leadership', 'writing')"
"The man who is truly good and wise will bear with dignity whatever fortune sends, and will always make the best of his circumstances.",Aristotle,"('future', 'man', 'wisdom')"
Find the good. Seek the Unity. Ignore the divisions among us.,Aristotle,"('good', 'life', 'truth')"
The greatest of all pleasures is the pleasure of learning.,Aristotle,"('education', 'joy', 'learning')"
"The tyrant, who in order to hold his power, suppresses every superiority, does away with good men, forbids education and light, controls every movement of the citizens and, keeping them under a perpetual servitude, wants them to grow accustomed to baseness and cowardice, has his spies everywhere to listen to what is said in the meetings, and spreads dissension and calumny among the citizens and impoverishes them, is obliged to make war in order to keep his subjects occupied and impose on them permanent need of a chief.",Aristotle,"('freedom', 'power', 'war')"
Poverty is the parent of revolution and crime.,Aristotle,"('children', 'money', 'society')"
The hardest victory is the victory over self.,Aristotle,"('life', 'politics', 'self')"
Republics decline into democracies and democracies degenerate into despotisms.,Aristotle,"('life', 'love', 'politics')"
Fortune favours the bold.,Aristotle,"('courage', 'money', 'wisdom')"
You are what you repeatedly do,Aristotle,"('love', 'time', 'you')"
Your happiness depends on you alone.,Aristotle,"('happiness', 'inspirational', 'life')"
"Patience s bitter, but it's fruit is sweet.",Aristotle,"('inspirational', 'love', 'people')"
"Wise people have an inward sense of what is beautiful, and the highest wisdom is to trust this intuition and be guided by it.",Aristotle,"('beauty', 'inspirational', 'wisdom')"
Knowledge of the fact differs from knowledge of the reason for the fact.,Aristotle,"('change', 'knowledge', 'science')"
The energy of the mind is the essence of life.,Aristotle,"('life', 'mind', 'soul')"
"The aim of the wise is not to secure pleasure, but to avoid pain.",Aristotle,"('pain', 'sex', 'wisdom')"
Our feelings towards our friends reflect our feelings towards ourselves.,Aristotle,"('friends', 'friendship', 'philosophy')"
"They - Young People have exalted notions, because they have not been humbled by life or learned its necessary limitations; moreover, their hopeful disposition makes them think themselves equal to great things - and that means having exalted notions. They would always rather do noble deeds than useful ones: Their lives are regulated more by moral feeling than by reasoning - all their mistakes are in the direction of doing things excessively and vehemently. They overdo everything - they love too much, hate too much, and the same with everything else.",Aristotle,"('children', 'life', 'reality')"
Through discipline comes freedom.,Aristotle,"('education', 'freedom', 'inspirational')"
The quality of life is determined by its activities.,Aristotle,"('life', 'lifequotes', 'work')"
"What you have to learn to do, you learn by doing.",Aristotle,"('inspirational', 'learning', 'you')"
Man is a goal-seeking animal. His life only has meaning if he is reaching out and striving for his goals.,Aristotle,"('life', 'man', 'purpose')"
"All persons ought to endeavor to follow what is right, and not what is established.",Aristotle,"('philosophy', 'society', 'truth')"
"A goal gets us motivated,while a good habit keeps us stay motivated.",Aristotle,"('inspirational', 'inspirationalquotes', 'successquotes')"
The best way to avoid envy is to deserve the success you get.,Aristotle,"('debasishmridha', 'debasishmridhamd', 'inspirational')"
You can never learn anything that you did not already know,Aristotle,"('knowledge', 'learning', 'life')"
There is nothing unequal as the equal treatment of unequals.,Aristotle,"('education', 'inspirational', 'man')"
"Virtue means doing the right thing, in relation to the right person, at the right time, to the right extent, in the right manner, and for the right purpose. Thus, to give money away is quite a simple task, but for the act to be virtuous, the donor must give to the right person, for the right purpose, in the right amount, in the right manner, and at the right time.",Aristotle,"('happiness', 'money', 'philosophy')"
It is a part of probability that many improbable things will happen.,Aristotle,"('future', 'inspirationalquotes', 'you')"
"Those that know, do. Those that understand, teach.",Aristotle,"('knowledge', 'me', 'wisdom')"
"We are the sum of our actions, and therefore our habits make all the difference.",Aristotle,"('inspirational', 'life', 'philosophy')"
"It is impossible, or not easy, to alter by argument what has long been absorbed by habit",Aristotle,"('change', 'philosophy', 'science')"
Let us first understand the facts and then we may seek the cause.,Aristotle,"('education', 'money', 'philosophy')"
We laugh at that which we cannot bear to face.,Aristotle,"('funny', 'humor', 'humour')"
Peace is more difficult than war.,Aristotle,"('inspirational', 'peace', 'war')"
You are what you do repeatedly.,Aristotle,"('inspirational', 'time', 'you')"
Anyone who has no need of anybody but himself is either a beast or a God.,Aristotle,"('god', 'people', 'religion')"
"The greatest crimes are caused by surfeit, not by want.",Aristotle,"('change', 'power', 'society')"
To Unlearn is as hard as to Learn,Aristotle,"('education', 'knowledge', 'learning')"
"Every man should be responsible to others, nor should any one be allowed to do just as he pleases; for where absolute freedom is allowed, there is nothing to restrain the evil which is inherent in every man.",Aristotle,"('humanity', 'man', 'society')"
The only way to achieve true success is to express yourself completely in service to society.,Aristotle,"('society', 'success', 'successquotes')"
"Friends hold a mirror up to each other; through that mirror they can see each other in ways that would not otherwise be accessible to them, and it is this mirroring that helps them improve themselves as persons.",Aristotle,"('friends', 'friendship', 'good')"
A proper wife should be as obedient as a slave... The female is a female by virtue of a certain lack of qualities - a natural defectiveness.,Aristotle,"('humor', 'marriage', 'women')"
Love is composed of a single soul inhabiting two bodies.,Aristotle,"('love', 'soul', 'spirituality')"
"Love well, be loved and do something of value.",Aristotle,"('inspirational', 'love', 'quotes')"
Happiness is a state of activity.,Aristotle,"('happiness', 'inspirational', 'life')"
"Man is by nature a social animal; an individual who is unsocial naturally and not accidentally is either beneath our notice or more than human. Society is something that precedes the individual. Anyone who either cannot lead the common life or is so self-sufficient as not to need to, and therefore does not partake of society, is either a beast or a god.",Aristotle,"('humanity', 'man', 'society')"
Fine friendship requires duration rather than fitful intensity.,Aristotle,"('friendship', 'inspirational', 'time')"
"The physician himself, if sick, actually calls in another physician, knowing that he cannot reason correctly if required to judge his own condition while suffering.",Aristotle,"('pain', 'reality', 'religion')"
Money is a guarantee that we can have what we want in the future,Aristotle,"('future', 'love', 'money')"
Those who cannot bravely face danger are the slaves of their attackers.,Aristotle,"('courage', 'freedom', 'inspirational')"
"The beauty of the soul shines out when a man bears with composure one heavy mischance after another, not because he does not feel them, but because he is a man of high and heroic temper.",Aristotle,"('beauty', 'men', 'soul')"
Happiness belongs to the self sufficient.,Aristotle,"('happiness', 'inspirational', 'life')"
"Health is a matter of choice, not a mystery of chance",Aristotle,"('death', 'humor', 'life')"
To love someone is to identify with them.,Aristotle,"('friendship', 'love', 'people')"
He overcomes a stout enemy who overcomes his own anger.,Aristotle,"('god', 'poetry', 'war')"
All men seek one goal: success or happiness.,Aristotle,"('happiness', 'life', 'success')"
"Democracy is when the indigent, and not the men of property, are the rulers.",Aristotle,"('knowledge', 'politics', 'power')"
"It is well to be up before daybreak, for such habits contribute to health, wealth, and wisdom.",Aristotle,"('inspirational', 'life', 'people')"
Philosophy begins with wonder.,Aristotle,"('debasishmridha', 'inspirational', 'philosophy')"
"Speech is the representation of the mind, and writing is the representation of speech.",Aristotle,"('philosophy', 'truth', 'writing')"
"Plato is my friend, but truth is a better friend.",Aristotle,"('friendship', 'philosophy', 'truth')"
We should aim rather at leveling down our desires than leveling up our means.,Aristotle,"('inspirationalquotes', 'think', 'wisdom')"
"At his best, man is the noblest of all animals; separated from law and justice he is the worst.",Aristotle,"('humanity', 'knowledge', 'man')"
It would be wrong to put friendship before the truth.,Aristotle,"('friends', 'friendship', 'truth')"
The difference between a learned man and an ignorant one is the same as that between a living man and a corpse.,Aristotle,"('death', 'life', 'man')"
A promise made must be a promise kept.,Aristotle,"('humor', 'inspirational', 'passion')"
"Of the tyrant, spies and informers are the principal instruments. War is his favorite occupation, for the sake of engrossing the attention of the people, and making himself necessary to them as their leader.",Aristotle,"('freedom', 'history', 'war')"
Nature creates nothing without a purpose.,Aristotle,"('life', 'nature', 'purpose')"
There are no experienced young people. Time makes experience.,Aristotle,"('people', 'reality', 'time')"
Where your talents and the needs of the world cross; there lies your vocation.,Aristotle,"('inspirational', 'work', 'world')"
The man who is content to live alone is either a beast or a god.,Aristotle,"('god', 'life', 'man')"
"The soul suffers when the body is diseased or traumatized, while the body suffers when the soul is ailing.",Aristotle,"('death', 'pain', 'soul')"
Fate of empires depends on the education of youth,Aristotle,"('education', 'future', 'war')"
"Obstinate people can be divided into the opinionated, the ignorant, and the boorish.",Aristotle,"('inspirational', 'people', 'religion')"
All paid jobs absorb and degrade the mind.,Aristotle,"('mind', 'money', 'work')"
The ideal man is his own best friend and takes delight in privacy.,Aristotle,"('friends', 'friendship', 'philosophy')"
"Both oligarch and tyrant mistrust the people, and therefore deprive them of their arms.",Aristotle,"('freedom', 'people', 'politics')"
A gentleman is not disturbed by anything,Aristotle,"('man', 'men', 'politics')"
"He who cannot see the truth for himself, nor, hearing it from others, store it away in his mind, that man is utterly worthless.",Aristotle,"('man', 'philosophy', 'truth')"
"It is not sufficient to know what one ought to say, but one must also know how to say it.",Aristotle,"('humor', 'knowledge', 'writing')"
"Where your talents and the needs of the world cross, therein lies your vocation. These two, your talents and the needs of the world, are the great wake up calls to your true vocation in life... to ignore this, is in some sense, is to lose your soul.",Aristotle,"('inspirational', 'life', 'world')"
The best way to teach morality is to make it a habit with children.,Aristotle,"('children', 'education', 'philosophy')"
Hope is a waking dream.,Aristotle,"('dreams', 'hope', 'inspirational')"
It is better for a city to be governed by a good man than by good laws.,Aristotle,"('good', 'man', 'politics')"
Men become richer not only by increasing their existing wealth but also by decreasing their expenditure.,Aristotle,"('men', 'money', 'women')"
All friendly feelings toward others come from the friendly feelings a person has for himself.,Aristotle,"('friendship', 'happiness', 'philosophy')"
"Of all the varieties of virtues, liberalism is the most beloved.",Aristotle,"('happiness', 'philosophy', 'politics')"
"It belongs to small-mindedness to be unable to bear either honor or dishonor, either good fortune or bad, but to be filled with conceit when honored and puffed up by trifling good fortune, and to be unable to bear even the smallest dishonor and to deem any chance failure a great misfortune, and to be distressed and annonyed at everything. Moreover the small-minded man is the sort of person to call all slights an insult and dishonor, even those that are due to ignorance or forgetfulness. Small-mindedness is accompanied by pettiness, querulousness, pessimism and self-abasement.",Aristotle,"('life', 'mind', 'philosophy')"
The end of labor is to gain leisure.,Aristotle,"('death', 'life', 'work')"
The self-indulgent man craves for all pleasant things... and is led by his appetite to choose these at the cost of everything else.,Aristotle,"('happiness', 'inspirational', 'life')"
"Friendship is a thing most necessary to life, since without friends no one would choose to live, though possessed of all other advantages.",Aristotle,"('friends', 'friendship', 'life')"
"A democracy exists whenever those who are free and are not well-off, being in the majority, are in sovereign control of government, an oligarchy when control lies with the rich and better-born, these being few.",Aristotle,"('freedom', 'politics', 'society')"
There is honor in being a dog.,Aristotle,"('god', 'life', 'light')"
"If you see a man approaching with the obvious intent of doing you good, run for your life.",Aristotle,"('inspirational', 'life', 'relationships')"
"Consider pleasures as they depart, not as they come.",Aristotle,"('life', 'passion', 'sex')"
God and nature create nothing that does not fulfill a purpose,Aristotle,"('god', 'nature', 'purpose')"
Art is a higher type of knowledge than experience.,Aristotle,"('art', 'creativity', 'knowledge')"
Nature does nothing in vain.,Aristotle,"('debasishmridhamd', 'inspirational', 'nature')"
The character which results from wealth is that of a prosperous fool.,Aristotle,"('knowledge', 'politics', 'work')"
Misfortune shows those who are not really friends.,Aristotle,"('friends', 'friendship', 'people')"
"It is of the nature of desire not to be satisfied, and most men live only for the gratification of it.",Aristotle,"('life', 'men', 'success')"
"Suffering becomes beautiful when anyone bears great calamities with cheerfulness, not through insensibility but through greatness of mind.",Aristotle,"('beauty', 'happiness', 'pain')"
Authority is no source for Truth.,Aristotle,"('faith', 'leadership', 'truth')"
"People do not naturally become morally excellent or practically wise. They become so, if at all, only as the result of lifelong personal and community effort.",Aristotle,"('good', 'people', 'society')"
Reason is a light that God has kindled in the soul.,Aristotle,"('christianity', 'god', 'light')"
"What we expect, that we find.",Aristotle,"('hope', 'inspirational', 'life')"
"We are better able to study our neighbours than ourselves, and their actions than our own.",Aristotle,"('education', 'humanity', 'learning')"
We work to earn our leisure.,Aristotle,"('life', 'time', 'work')"
Friendship is a single soul dwelling in two bodies.,Aristotle,"('friendship', 'love', 'soul')"
"Female cats are very Lascivious, and make advances to the male.",Aristotle,"('humor', 'sex', 'women')"
Wit is well-bred insolence.,Aristotle,"('beauty', 'humor', 'poetry')"
"Dignity does not consist in possessing honors, but in deserving them.",Aristotle,"('humanity', 'life', 'quotes')"
He who sees things grow from the beginning will have the best view of them.,Aristotle,"('god', 'inspirational', 'wisdom')"
Time crumbles things; everything grows old under the power of Time and is forgotten through the lapse of Time.,Aristotle,"('inspirational', 'life', 'time')"
"If men are given food, but no chastisement nor any work, they become insolent.",Aristotle,"('humor', 'man', 'men')"
Friends are much better tried in bad fortune than in good.,Aristotle,"('friends', 'friendship', 'good')"
Happiness is the reward of virtue.,Aristotle,"('happiness', 'inspirational', 'wisdom')"
It is the characteristic of the magnanimous man to ask no favor but to be ready to do kindness to others.,Aristotle,"('inspirational', 'philosophy', 'wisdom')"
The senses are gateways to the intelligence. There is nothing in the intelligence which did not first pass through the senses.,Aristotle,"('christian', 'inspirational', 'intelligence')"
"We become just by the practice of just actions, self-controlled by exercising self-control, and courageous by performing acts of courage.",Aristotle,"('courage', 'inspirational', 'life')"
It is more difficult to organize a peace than to win a war; but the fruits of victory will be lost if the peace is not organized.,Aristotle,"('knowledge', 'peace', 'war')"
"What it lies in our power to do, it lies in our power not to do.",Aristotle,"('politics', 'power', 'truth')"
"If you would understand anything, observe its beginning and its development",Aristotle,"('knowledge', 'science', 'wisdom')"
"If things do not turn out as we wish, we should wish for them as they turn out.",Aristotle,"('change', 'dreams', 'life')"
Man is by nature a political animal.,Aristotle,"('man', 'nature', 'politics')"
"The ultimate end...is not knowledge, but action. To be half right on time may be more important than to obtain the whole truth too late.",Aristotle,"('knowledge', 'truth', 'wisdom')"
The only stable state is the one in which all men are equal before the law.,Aristotle,"('freedom', 'politics', 'women')"
Saying the words that come from knowledge is no sign of having it.,Aristotle,"('knowledge', 'wisdom', 'words')"
A friend is another I.,Aristotle,"('friends', 'friendship', 'philosophy')"
The whole is more than the sum of its parts.,Aristotle,"('life', 'peace', 'wisdom')"
Worthless persons appointed to have supreme control of weighty affairs do a lot of damage.,Aristotle,"('politics', 'power', 'strength')"
"The habits we form from childhood make no small difference, but rather they make all the difference.",Aristotle,"('children', 'life', 'philosophy')"
Our characters are the result of our conduct.,Aristotle,"('fiction', 'leadership', 'work')"
The soul never thinks without a picture.,Aristotle,"('inspirational', 'life', 'soul')"
Perception starts with the eye.,Aristotle,"('debasishmridha', 'philosophy', 'quotes')"
There's many a slip between the cup and the lip.,Aristotle,"('future', 'love', 'quotes')"
"The greatest thing by far is to have a command of metaphor. This alone cannot be imparted by another; it is the mark of genius, for to make good metaphors implies an eye for resemblances.",Aristotle,"('humor', 'truth', 'writing')"
Men are marked from the moment of birth to rule or be ruled.,Aristotle,"('death', 'men', 'women')"
My best friend is the man who in wishing me well wishes it for my sake.,Aristotle,"('friendship', 'happiness', 'inspirational')"
"To say of what is that it is not, or of what is not that it is, is false, while to say of what is that it is, and of what is not that it is not, is true.",Aristotle,"('life', 'time', 'truth')"
We should behave to our friends as we would wish our friends behave to us,Aristotle,"('friends', 'friendship', 'philosophy')"
Happiness does not consist in pastimes and amusements but in virtuous activities.,Aristotle,"('happiness', 'joy', 'life')"
Truth is a remarkable thing. We cannot miss knowing some of it. But we cannot know it entirely.,Aristotle,"('knowledge', 'life', 'truth')"
"Jealousy is both reasonable and belongs to reasonable men, while envy is base and belongs to the base, for the one makes himself get good things by jealousy, while the other does not allow his neighbour to have them through envy.",Aristotle,"('debasishmridha', 'inspirational', 'philosophy')"
Fear is pain arising from the anticipation of evil.,Aristotle,"('fear', 'love', 'pain')"
We are what we do.,Aristotle,"('inspiration', 'inspirational', 'work')"
"Excellence, therefore, is not an act, but a habit.",Aristotle,"('leadership', 'passion', 'success')"
He who hath many friends hath none.,Aristotle,"('fiction', 'friends', 'friendship')"
No state will be well administered unless the middle class holds sway.,Aristotle,"('education', 'money', 'politics')"
By myth I mean the arrangement of the incidents,Aristotle,"('belief', 'fantasy', 'you')"
The honors and rewards fall to those who show their good qualities in action.,Aristotle,"('inspirational', 'inspirationalquotes', 'lifequotes')"
"Happiness is the meaning and the purpose of life, the whole aim and end of human existence.",Aristotle,"('happiness', 'inspirational', 'life')"
"Excellence, then, is a state concerned with choice, lying in a mean, relative to us, this being determined by reason and in the way in which the man of practical wisdom would determine it.",Aristotle,"('good', 'great', 'politics')"
No one loves the man whom he fears.,Aristotle,"('fear', 'love', 'man')"
"Now the greatest external good we should assume to be the thing which we offer as a tribute to the gods, and which is most coveted by men of high station, and is the prize awarded for the noblest deeds; and such a thing is honor, for honor is clearly the greatest of external goods.",Aristotle,"('good', 'great', 'inspirational')"
"For what one has to learn to do, we learn by doing.",Aristotle,"('learning', 'life', 'wisdom')"
Happiness is the settling of the soul into its most appropriate spot.,Aristotle,"('happiness', 'inspirational', 'soul')"
It is no easy task to be good.,Aristotle,"('good', 'inspirational', 'writing')"
"Nature of man is not what he was born as, but what he is born for.",Aristotle,"('life', 'man', 'nature')"
Worms are the intestines of the earth.,Aristotle,"('humour', 'nature', 'world')"
True happiness flows from the possession of wisdom and virtue and not from the possession of external goods.,Aristotle,"('happiness', 'philosophy', 'wisdom')"
The hand is the tool of tools.,Aristotle,"('family', 'inspirational', 'writing')"
Friends enhance our ability to think and act.,Aristotle,"('creativity', 'friends', 'friendship')"
We are what we frequently do.,Aristotle,"('great', 'time', 'work')"
"A tyrant must put on the appearance of uncommon devotion to religion. Subjects are less apprehensive of illegal treatment from a ruler whom they consider god-fearing and pious. On the other hand, they do less easily move against him, believing that he has the gods on his side.",Aristotle,"('leadership', 'power', 'religion')"
Beauty is the gift of God,Aristotle,"('beauty', 'god', 'philosophy')"
"Bad people...are in conflict with themselves; they desire one thing and will another, like the incontinent who choose harmful pleasures instead of what they themselves believe to be good.",Aristotle,"('good', 'people', 'society')"
Good moral character is not something that we can achieve on our own. We need a culture that supports the conditions under which self-love and friendship flourish.,Aristotle,"('friendship', 'good', 'love')"
"To write well, express yourself like the common people, but think like a wise man.",Aristotle,"('inspirational', 'people', 'writing')"
"Teachers, who educate children, deserve more honour than parents, who merely gave them birth; for the latter provided mere life, while the former ensure a good life.",Aristotle,"('children', 'education', 'life')"
"Money was intended to be used in exchange, but not to increase at interest. And this term interest, which means the birth of money from money, is applied to the breeding of money because the offspring resembles the parent. Wherefore of all modes of getting wealth this is the most unnatural.",Aristotle,"('family', 'money', 'sex')"
"The complete man must work, study and wrestle.",Aristotle,"('man', 'success', 'work')"
"The wise man does not expose himself needlessly to danger, since there are few things for which he cares sufficiently; but he is willing, in great crises, to give even his life - knowing that under certain conditions it is not worthwhile to live.",Aristotle,"('future', 'politics', 'wisdom')"
Well begun is half done.,Aristotle,"('inspirational', 'lifequotes', 'love')"
"Even that some people try deceived me many times ... I will not fail to believe that somewhere, someone deserves my trust.",Aristotle,"('love', 'trust', 'truth')"
A person's life persuades better than his word.,Aristotle,"('life', 'people', 'words')"
All Earthquakes and Disasters are warnings; theres too much corruption in the world,Aristotle,"('change', 'fear', 'world')"
"For man, when perfected, is the best of animals, but, when separated from law and justice, he is the worst of all; since armed injustice is the more dangerous, and he is equipped at birth with the arms of intelligence and with moral qualities which he may use for the worst ends. Wherefore, if he have not virtue, he is the most unholy and the most savage of animals, and the most full of lust and gluttony. But justice is the bond of men in states, and the administration of justice, which is the determination of what is just, is the principle of order in political society.",Aristotle,"('good', 'humanity', 'man')"
A common danger unites even the bitterest enemies.,Aristotle,"('fear', 'inspirational', 'war')"
Being a father is the most rewarding thing a man whose career has plateaued can do.,Aristotle,"('family', 'life', 'work')"
It is simplicity that makes the uneducated more effective than the educated when addressing popular audiences.,Aristotle,"('education', 'people', 'success')"
"Maybe crying is a means of cleaning yourself out emotionally. Or maybe it's your last resort; the only way to express yourself when words fail, the same as when you were a baby and had no words.",Aristotle,"('inspirational', 'love', 'words')"
"Happiness, whether consisting in pleasure or virtue, or both, is more often found with those who are highly cultivated in their minds and in their character, and have only a moderate share of external goods, than among those who possess external goods to a useless extent but are deficient in higher qualities.",Aristotle,"('happiness', 'life', 'philosophy')"
"Nature does nothing in vain. Therefore, it is imperative for persons to act in accordance with their nature and develop their latent talents, in order to be content and complete.",Aristotle,"('life', 'nature', 'passion')"
The ideal man takes joy in doing favors for others.,Aristotle,"('happiness', 'love', 'wisdom')"
Yes the truth is that men's ambition and their desire to make money are among the most frequent causes of deliberate acts of injustice.,Aristotle,"('men', 'money', 'women')"
Try is a noisy way of doing nothing.,Aristotle,"('humor', 'inspirational', 'life')"
Life in the true sense is perceiving or thinking.,Aristotle,"('belief', 'inspirational', 'life')"
He is his own best friend and takes delight in privacy whereas the man of no virtue or ability is his own worst enemy and is afraid of solitude.,Aristotle,"('friendship', 'man', 'philosophy')"
"A king ruleth as he ought, a tyrant as he lists, a king to the profit of all, a tyrant only to please a few.",Aristotle,"('freedom', 'humor', 'power')"
"One thing alone not even God can do,To make undone whatever hath been done.",Aristotle,"('christian', 'god', 'religion')"
"Consider pleasures as they depart, not as they come.",Aristotle,"('life', 'passion', 'sex')"
You should never think without an image.,Aristotle,"('humor', 'life', 'think')"
The actuality of thought is life.,Aristotle,"('creativity', 'life', 'reality')"
"Gentleness is the ability to bear reproaches and slights with moderation, and not to embark on revenge quickly, and not to be easily provoked to anger, but be free from bitterness and contentiousness, having tranquility and stability in the spirit.",Aristotle,"('beauty', 'love', 'nature')"
The greatest victory is over self.,Aristotle,"('life', 'peace', 'self')"
Wickedness is nourished by lust.,Aristotle,"('beauty', 'fear', 'humor')"
Intuition is the source of scientific knowledge.,Aristotle,"('knowledge', 'philosophy', 'science')"
All proofs rest on premises.,Aristotle,"('death', 'faith', 'truth')"
"Friends are an aid to the young, to guard them from error; to the elderly, to attend to their wants and to supplement their failing power of action; to those in the prime of life, to assist them to noble deeds.",Aristotle,"('friends', 'friendship', 'life')"
"When you feel yourself lacking something, send your thoughts towards your Intimate and search for the Divinity that lives within you.",Aristotle,"('faith', 'god', 'soul')"
"When...we, as individuals, obey laws that direct us to behave for the welfare of the community as a whole, we are indirectly helping to promote the pursuit of happiness by our fellow human beings.",Aristotle,"('happiness', 'intelligence', 'society')"
Education is an ornament in prosperity and a refuge in adversity.,Aristotle,"('education', 'future', 'knowledge')"
Business or toil is merely utilitarian. It is necessary but does not enrich or ennoble a human life.,Aristotle,"('life', 'money', 'purpose')"
"Why is it that all men who are outstanding in philosophy, poetry or the arts are melancholic?",Aristotle,"('men', 'poetry', 'success')"
"Goodness is to do good to the deserving and love the good and hate the wicked, and not to be eager to inflict punishment or take vengeance, but to be gracious and kindly and forgiving.",Aristotle,"('good', 'happiness', 'truth')"
"For though we love both the truth and our friends, piety requires us to honor the truth first.",Aristotle,"('friendship', 'lifequotes', 'truth')"
The family is the association established by nature for the supply of men's everyday wants.,Aristotle,"('family', 'god', 'society')"
Self-sufficiency is both a good and an absolute good.,Aristotle,"('good', 'life', 'self')"
Liars when they speak the truth are not believed.,Aristotle,"('belief', 'people', 'truth')"
Happiness involves engagement in activities that promote one's highest potentials.,Aristotle,"('happiness', 'life', 'love')"
"The Life of the intellect is the best and pleasantest for man, because the intellect more than anything else is the man. Thus it will be the happiest life as well.",Aristotle,"('happiness', 'life', 'man')"
"Music directly imitates the passions or states of the soul...when one listens to music that imitates a certain passion, he becomes imbued withthe same passion; and if over a long time he habitually listens to music that rouses ignoble passions, his whole character will be shaped to an ignoble form.",Aristotle,"('music', 'passion', 'soul')"
"We give up leisure in order that we may have leisure, just as we go to war in order that we may have peace.",Aristotle,"('life', 'peace', 'war')"
"Meanness is incurable; it cannot be cured by old age, or by anything else.",Aristotle,"('debasishmridhamd', 'humor', 'time')"
There is no genius who hasn't a touch of insanity.,Aristotle,"('intelligence', 'philosophy', 'science')"
We must be neither cowardly nor rash but courageous.,Aristotle,"('courage', 'inspirational', 'men')"
Memory is the scribe of the soul.,Aristotle,"('death', 'history', 'soul')"
Each human being is bred with a unique set of potentials that yearn to be fulfilled as surely as the acorn yearns to become the oak within it.,Aristotle,"('great', 'wisdom', 'you')"
The true nature of anything is what it becomes at its highest.,Aristotle,"('inspirational', 'nature', 'strength')"
Why do men seek honour? Surely in order to confirm the favorable opinion they have formed of themselves.,Aristotle,"('life', 'men', 'war')"
"Salt water when it turns into vapour becomes sweet, and the vapour does not form salt water when it condenses again. This I know by experiment. The same thing is true in every case of the kind: wine and all fluids that evaporate and condense back into a liquid state become water. They all are water modified by a certain admixture, the nature of which determines their flavour.",Aristotle,"('creativity', 'debasishmridha', 'joy')"
"To give away money is an easy matter and in any man's power. But to decide to whom to give it and how large and when, and for what purpose and how, is neither in every man's power nor an easy matter.",Aristotle,"('life', 'money', 'power')"
Democracy is the form of government in which the free are rulers.,Aristotle,"('freedom', 'politics', 'power')"
Mothers are fonder than fathers of their children because they are more certain they are their own.,Aristotle,"('family', 'love', 'men')"
"Neither should we forget the mean, which at the present day is lost sight of in perverted forms of government; for many practices which appear to be democratical are the ruin of democracies, . . Those who think that all virtue is to be found in their own party principles push matters to extremes; they do not consider that disproportion destroys a state.",Aristotle,"('philosophy', 'politics', 'society')"
